index,origin_id,origin_date,split,status,ended_with_eos,prompt_sha256,inflation_pressure_score,inflation_pressure_evidence,demand_pressure_score,demand_pressure_evidence,forward_policy_bias_score,forward_policy_bias_evidence
0,decision_close_2015_1,2015-01-20,train,valid,True,e05110ff5488e30c316dfc39aea7245b941169ac481da3362c287019f9b3bdb3,1,"Para politikasındaki sıkı duruş ve alınan makroihtiyati önlemler enflasyonu, özellikle enerji ve gıda dışı (çekirdek) enflasyon göstergelerini ve enflasyon beklentilerini olumlu yönde etkilemektedir.",-1,Dış talep zayıf seyrini korurken iç talep büyümeye ılımlı düzeyde katkı vermektedir.,0,
1,decision_close_2015_2,2015-02-24,train,valid,True,18999ee3758bc25312549ca27670350ee2e367edca647725d847795d712e9de7,0,,0,,-1,faiz oranlarındaki indirimin ölçülü tutulmasını uygun görmüştür.
2,decision_close_2015_3,2015-03-17,train,valid,True,1880bfa4216c7858e0ac3cce8306648c76533576f47c9cc526a4712df754feee,0,,0,,0,
3,decision_close_2015_4,2015-04-22,train,valid,True,f67b2392f10ac4b0ed538743119fc04e1375a2b61d1426000edbde8f358d1417,0,,0,,0,
4,decision_close_2015_5,2015-05-20,train,valid,True,136007517f86933eea0bbc777e91304f0953776845850a2a198e95ea25ac8da5,0,,0,,0,
5,decision_close_2015_6,2015-06-23,train,valid,True,806c020f2289e4391e58c46e70650489ae03bae996fc9eecfd1dacfb7fba8e7b,0,,0,,0,
6,decision_close_2015_7,2015-07-23,train,valid,True,e92c78667a88c9c1edfb2eb32d27c410a44a6653d17e06c92e59f0aaebc14d48,0,,0,,0,
7,decision_close_2015_8,2015-08-18,train,valid,True,cfc7f9fae4879efe658286d7f2408804dbc5b2aa269d3788a7c342333e1c2617,0,,0,,0,
8,decision_close_2015_9,2015-09-22,train,valid,True,e6b4e9b8c0dee008f27395f0e99857b43cc9ecb14d44216ac2a938629db7d007,0,,0,,0,
9,decision_close_2015_10,2015-10-21,train,valid,True,bacab3d571ba819368b4ea8d7f8a85d2e71472546886bcda1a5237d11fbd9b94,0,,0,,0,
10,decision_close_2015_11,2015-11-24,train,valid,True,aee69b4139de642a006b5d5a5f2b6aac387875cfcff98c13d3b229706f321385,0,,0,,0,
11,decision_close_2015_12,2015-12-22,train,valid,True,97492c2caf45bd6bd74cf2e711920a9cfac17e5c365fa1a34c40017408e36c91,0,,0,,0,
